"Store","Dept","Date","Weekly_Sales","IsHoliday"
1,1,2011-11-04,39886.06,FALSE
1,1,2011-11-11,18689.54,FALSE
1,1,2011-11-18,19050.66,FALSE
1,1,2011-11-25,20911.25,TRUE
1,2,2011-11-04,47313.62,FALSE
1,2,2011-11-11,44936.47,FALSE
1,2,2011-11-18,43997.78,FALSE
1,2,2011-11-25,44259.59,TRUE
1,3,2011-11-04,9189.2,FALSE
1,3,2011-11-11,9959.64,FALSE
1,3,2011-11-18,10104.36,FALSE
1,3,2011-11-25,9317.56,TRUE
1,4,2011-11-04,39354.84,FALSE
1,4,2011-11-11,36826.52,FALSE
1,4,2011-11-18,37656.58,FALSE
1,4,2011-11-25,46564.14,TRUE
1,5,2011-11-04,31956.07,FALSE
1,5,2011-11-11,31002.65,FALSE
1,5,2011-11-18,27339.37,FALSE
1,5,2011-11-25,79340.15,TRUE
1,6,2011-11-04,6223.03,FALSE
1,6,2011-11-11,3527.62,FALSE
1,6,2011-11-18,2640.98,FALSE
1,6,2011-11-25,18629.83,TRUE
1,7,2011-11-04,24182.96,FALSE
1,7,2011-11-11,25942.35,FALSE
1,7,2011-11-18,21953.16,FALSE
1,7,2011-11-25,71151.34,TRUE
1,8,2011-11-04,36959.48,FALSE
1,8,2011-11-11,34003.52,FALSE
1,8,2011-11-18,33169.55,FALSE
1,8,2011-11-25,33243.85,TRUE
1,9,2011-11-04,50675.72,FALSE
1,9,2011-11-11,37670.13,FALSE
1,9,2011-11-18,28932.57,FALSE
1,9,2011-11-25,42228.79,TRUE
1,10,2011-11-04,31588.66,FALSE
1,10,2011-11-11,32346.54,FALSE
1,10,2011-11-18,28013.63,FALSE
1,10,2011-11-25,30877.51,TRUE
1,11,2011-11-04,27469.93,FALSE
1,11,2011-11-11,23541.72,FALSE
1,11,2011-11-18,21412.74,FALSE
1,11,2011-11-25,28315.7,TRUE
1,12,2011-11-04,9964.78,FALSE
1,12,2011-11-11,10216.64,FALSE
1,12,2011-11-18,9872.05,FALSE
1,12,2011-11-25,7816.44,TRUE
1,13,2011-11-04,41907.62,FALSE
1,13,2011-11-11,37255.89,FALSE
1,13,2011-11-18,37077.82,FALSE
1,13,2011-11-25,38625.48,TRUE
1,14,2011-11-04,13634.48,FALSE
1,14,2011-11-11,14903.78,FALSE
1,14,2011-11-18,17803.49,FALSE
1,14,2011-11-25,39773.89,TRUE
1,16,2011-11-04,6560.94,FALSE
1,16,2011-11-11,5913.03,FALSE
1,16,2011-11-18,4643.82,FALSE
1,16,2011-11-25,8400.69,TRUE
1,17,2011-11-04,7760.73,FALSE
1,17,2011-11-11,7316.53,FALSE
1,17,2011-11-18,9558.5,FALSE
1,17,2011-11-25,12329.5,TRUE
1,18,2011-11-04,14133.85,FALSE
1,18,2011-11-11,10170.41,FALSE
1,18,2011-11-18,14159.67,FALSE
1,18,2011-11-25,30543.19,TRUE
1,19,2011-11-04,821.45,FALSE
1,19,2011-11-11,932.24,FALSE
1,19,2011-11-18,793.08,FALSE
1,19,2011-11-25,831.4,TRUE
1,20,2011-11-04,3180.12,FALSE
1,20,2011-11-11,3114.01,FALSE
1,20,2011-11-18,2690.25,FALSE
1,20,2011-11-25,5425,TRUE
1,21,2011-11-04,8784.77,FALSE
1,21,2011-11-11,8742.41,FALSE
1,21,2011-11-18,7820.46,FALSE
1,21,2011-11-25,10158.02,TRUE
1,22,2011-11-04,8835.52,FALSE
1,22,2011-11-11,6596.53,FALSE
1,22,2011-11-18,7206.64,FALSE
1,22,2011-11-25,20555.07,TRUE
1,23,2011-11-04,23869.96,FALSE
1,23,2011-11-11,21318.68,FALSE
1,23,2011-11-18,19124.1,FALSE
1,23,2011-11-25,31848.99,TRUE
1,24,2011-11-04,6207.98,FALSE
1,24,2011-11-11,6053.49,FALSE
1,24,2011-11-18,4818.2,FALSE
1,24,2011-11-25,10847.14,TRUE
1,25,2011-11-04,11718.41,FALSE
1,25,2011-11-11,10417.72,FALSE
1,25,2011-11-18,8130.08,FALSE
1,25,2011-11-25,11997.22,TRUE
1,26,2011-11-04,9017.92,FALSE
1,26,2011-11-11,7693.46,FALSE
1,26,2011-11-18,5878.78,FALSE
1,26,2011-11-25,8690.17,TRUE
1,27,2011-11-04,2002.85,FALSE
1,27,2011-11-11,1882.59,FALSE
1,27,2011-11-18,1707.85,FALSE
1,27,2011-11-25,1992.88,TRUE
1,28,2011-11-04,966.26,FALSE
1,28,2011-11-11,788.61,FALSE
